Date de Scoring,Identifiant Bloomberg Company,ISSUER_EQUITY_TICKER,Nom de l'émetteur,Identifiant sous industrie GICS,Groupe Industrie GICS,Pays,Score ESG brut
2 avr. 2025,7935787,601688 CH,Huatai Securities Co. Ltd.,40203020,Diversified Financials,CN,10.00947448
2 avr. 2025,7938107,EVK GR,Evonik Industries AG,15101050,Materials,DE,12.33999328
2 avr. 2025,7938191,DIA IM,DiaSorin SpA,35101010,Healthcare Equipment & Services,IT,6.857291375
2 avr. 2025,7938227,EDN IM,Edison SpA,55105010,Utilities,IT,11.24061681
2 avr. 2025,7938371,REIN LX,Reinet Investments SCA,40203010,Diversified Financials,LU,1.951865059
2 avr. 2025,7940946,3443 TT,Global Unichip Corp.,45301020,Semiconductors & Semiconductor Equipment,TW,11.63526245
2 avr. 2025,7943599,QQ/ LN,QinetiQ Group plc,20101010,Capital Goods,GB,10.33356742
2 avr. 2025,7944166,598 HK,Sinotrans Ltd.,20301010,Transportation,CN,6.47211866
2 avr. 2025,7944554,PEB NZ,Pacific Edge Ltd.,35201010,"Pharmaceuticals, Biotechnology & Life Sciences",NZ,4.855646938
2 avr. 2025,7945062,601577 CH,Bank of Changsha Co Ltd,40101015,Banks,CN,3.247653557
2 avr. 2025,7945586,#N/A Field Not Applicable,,,,,11.91909124
2 avr. 2025,7946311,3059 TT,Altek Corp.,25201010,Consumer Durables & Apparel,TW,13.13053989
2 avr. 2025,7949139,APIC IJ,PT Pacific Strategic Financial Tbk,40203020,Diversified Financials,ID,3.883295912
2 avr. 2025,7949379,PFC LN,Petrofac Ltd.,10101020,Energy,GB,10.85467761
2 avr. 2025,7950751,6269 TT,Flexium Interconnect Inc.,45203015,Technology Hardware & Equipment,TW,15.56040975
2 avr. 2025,7951283,ACTG US,Acacia Research Corp,40201040,Diversified Financials,US,9.465109174
2 avr. 2025,7955610,082640 KS,TONGYANG Life Insurance Co. Ltd.,40301020,Insurance,KR,6.394356597
2 avr. 2025,7958167,6279 TT,Hu Lane Associate Inc.,25101010,Automobiles & Components,TW,10.2065995
2 avr. 2025,7958287,6278 TT,Taiwan Surface Mounting Technology Corp,45203015,Technology Hardware & Equipment,TW,13.67069546
2 avr. 2025,7958447,YGR CN,Yangarra Resources Ltd.,10102020,Energy,CA,8.052110356
2 avr. 2025,7960642,GRAN IN,Granules India Ltd.,35202010,"Pharmaceuticals, Biotechnology & Life Sciences",IN,6.187186069
2 avr. 2025,7960966,EIF CN,Exchange Income Corp.,20302010,Transportation,CA,8.259576067
2 avr. 2025,7961082,6504 TT,Nan Liu Enterprise Co. Ltd.,25203030,Consumer Durables & Apparel,TW,10.19038075
2 avr. 2025,7961194,6274 TT,Taiwan Union Technology Corp.,45203015,Technology Hardware & Equipment,TW,12.44025533
2 avr. 2025,7964271,066970 KS,L&F Co Ltd,20104010,Capital Goods,KR,8.423953468
2 avr. 2025,7973951,161975Z GR,,,,,8.765428966
2 avr. 2025,7974770,6285 TT,Wistron NeWeb Corp.,45201020,Technology Hardware & Equipment,TW,16.73811003
2 avr. 2025,7975354,3231 TT,Wistron Corp.,45202030,Technology Hardware & Equipment,TW,12.69288581
2 avr. 2025,7975466,8016 TT,Sitronix Technology Corp.,45301020,Semiconductors & Semiconductor Equipment,TW,12.82758791
2 avr. 2025,7976095,2892 TT,First Financial Holding Co. Ltd.,40101010,Banks,TW,11.4735295
2 avr. 2025,7977766,SKP MK,SKP Resources Bhd,45203015,Technology Hardware & Equipment,MY,5.396616177
2 avr. 2025,7978346,207791Z ID,,,,,14.69703366
2 avr. 2025,7979475,EQIX US,Equinix Inc.,60101010,Real Estate,US,11.39332927
2 avr. 2025,7979491,MOH US,Molina Healthcare Inc.,35102030,Healthcare Equipment & Services,US,6.615270065
2 avr. 2025,7979807,836 HK,China Resources Power Holdings Co. Ltd.,55105010,Utilities,HK,9.695788189
2 avr. 2025,7980587,051600 KS,KEPCO Plant Service & Engineering Co. Ltd.,20201070,Commercial & Professional Services,KR,11.57678966
2 avr. 2025,7981718,051370 KS,INTERFLEX Co. Ltd.,45203015,Technology Hardware & Equipment,KR,5.815192749
2 avr. 2025,7981990,6605 TT,Depo Auto Parts Industrial Co. Ltd.,25101010,Automobiles & Components,TW,3.513680962
2 avr. 2025,7988495,JDG LN,Judges Scientific Plc,45203010,Technology Hardware & Equipment,GB,7.695156981
